Gene A	Gene B	Uniprot A	Uniprot B	Symbol A	Symbol B	p(Wrong)	p(No Interaction)	p(Interaction)
100	728378	P00813	A5A3E0	ADA	POTEF	2.60594650711162e-9	0.000332769015644318	0.999667228378409
100	60	P00813	P60709	ADA	ACTB	1.36820445161759e-11	0.235234768088258	0.76476523189806
222389	5987	Q8N7W2	P14373	BEND7	TRIM27	9.74260842528123e-9	0.0227964173187395	0.977203572938652
222389	708	Q8N7W2	Q07021	BEND7	C1QBP	9.38470900945761e-13	0.00853737589191158	0.99146262410715
222389	4038	Q8N7W2	O75096	BEND7	LRP4	4.15859383331591e-10	0.0000112682813304218	0.99998873130281
645121	3304	Q6ZMN8	P08107	CCNI2	HSPA1B	2.03349836501235e-12	0.19667904117418	0.803320958823787
645121	3312	Q6ZMN8	P11142	CCNI2	HSPA8	8.87620964466248e-16	0.0399933280266795	0.96000667197332
645121	3310	Q6ZMN8	P17066	CCNI2	HSPA6	2.46775758664463e-12	0.206733059447998	0.793266940549534
645121	3305	Q6ZMN8	Q53FA3	CCNI2	HSPA1L	1.52554770684262e-12	0.0995483359511479	0.900451664047327
645121	55132	Q6ZMN8	Q659C4-2	CCNI2	LARP1B	2.4622281185677e-11	0.0159905671621144	0.984009432813263
645121	1020	Q6ZMN8	Q00535	CCNI2	CDK5	6.83210112681728e-11	0.0000793473838810524	0.999920652547798
945	201266	P20138	Q8N1S5	CD33	SLC39A11	2.30710610133953e-9	0.0409313937889763	0.959068603903918
945	5824	P20138	P40855	CD33	PEX19	8.93548506864677e-14	0.0790479146223529	0.920952085377558
945	23412	P20138	Q9UBI1	CD33	COMMD3	0.0000200317838066824	0.00834903617997673	0.991630932036217
945	113174	P20138	Q96ER3	CD33	SAAL1	3.54714102017948e-14	0.0349634776173378	0.965036522382627
4733	10489	Q9Y295	Q15345-3	DRG1	LRRC41	1.03304248800019e-10	3.69208844747276e-8	0.999999962975811
4733	55854	Q9Y295	Q8WU90	DRG1	ZC3H15	1.04920865891262e-13	1.92110936754943e-6	0.999998078890527
4733	28989	Q9Y295	Q9BV86	DRG1	METTL11A	1.06287262044062e-6	3.39465657147671e-6	0.999995542470808
4733	54363	Q9Y295	Q9UJM8	DRG1	HAO1	0.0328891073681638	0.0326337519377502	0.934477140694086
91526	23243	Q8N8A2-2	O15084	ANKRD44	ANKRD28	3.80326118098092e-11	1.1075591472374e-7	0.999999889206053
91526	4851	Q8N8A2-2	P46531	ANKRD44	NOTCH1	2.28227016370134e-12	9.14635241293149e-9	0.999999990851365
91526	4853	Q8N8A2-2	Q04721	ANKRD44	NOTCH2	2.74458462716276e-10	2.95683489156535e-6	0.99999704289065
91526	4854	Q8N8A2-2	Q9UM47	ANKRD44	NOTCH3	1.82593905553563e-8	0.0000130665521809816	0.999986915188429
91526	9701	Q8N8A2-2	O75170-2	ANKRD44	PPP6R2	6.72754032042738e-12	3.17955606765812e-6	0.999996820437205
91526	51479	Q8N8A2-2	Q9P2R3-2	ANKRD44	ANKFY1	8.53373015593865e-8	0.0359508563438538	0.964049058318845
91526	22870	Q8N8A2-2	Q9UPN7	ANKRD44	PPP6R1	2.23879571598227e-9	0.0000117677794635362	0.999988229981741
91526	55291	Q8N8A2-2	Q5H9R7-2	ANKRD44	PPP6R3	4.0278712949579e-8	0.0086325957066988	0.991367364014588
91526	55662	Q8N8A2-2	Q9NWT6	ANKRD44	HIF1AN	5.96232397017567e-13	0.0000281136171993634	0.999971886382204
91526	23255	Q8N8A2-2	Q9Y4B5-2	ANKRD44	KIAA0802	6.12287543169746e-11	0.00154480525081733	0.998455194687954
91526	5537	Q8N8A2-2	O00743-2	ANKRD44	PPP6C	1.47127979338917e-11	0.00334531502212741	0.99665468496316
91526	1031	Q8N8A2-2	P42773	ANKRD44	CDKN2C	0.0000202178900290917	0.00156137229041607	0.998418409819555
1819	3312	P55039	P11142	DRG2	HSPA8	2.86711203255002e-16	0.1819696257872	0.8180303742128
1819	51389	P55039	Q9H446	DRG2	RWDD1	1.42135428161335e-14	2.31810232747314e-9	0.999999997681883
148109	1047	Q17R55	O14967	FAM187B	CLGN	6.4673158841588e-13	0.201155305576263	0.79884469442309
148109	7444	Q17R55	Q86Y07-3	FAM187B	VRK2	1.77006310383606e-12	0.114208511803309	0.885791488194921
